chamber,congress,year,party.mean.diff.d1,prop.moderate.d1,prop.moderate.dem.d1,prop.moderate.rep.d1,overlap,chamber.mean.d1,chamber.mean.d2,dem.mean.d1,dem.mean.d2,rep.mean.d1,rep.mean.d2,north.rep.mean.d1,north.rep.mean.d2,south.rep.mean.d1,south.rep.mean.d2,north.dem.mean.d1,north.dem.mean.d2,south.dem.mean.d1,south.dem.mean.d2
House,101,1989,0.6526544025157233,0.31910112359550563,0.33584905660377357,0.29444444444444445,0.058426966292134834,-0.049042696629213484,-0.051820224719101124,-0.3130377358490566,0.08127547169811321,0.3396166666666667,-0.24776666666666666,0.3221029411764706,-0.31324264705882354,0.39375,-0.045386363636363634,-0.35982065217391307,-0.09936413043478261,-0.20676543209876544,0.49161728395061727
House,102,1991,0.6589244008714596,0.31519274376417233,0.337037037037037,0.2823529411764706,0.05,-0.060727891156462585,-0.039802721088435376,-0.3142185185185185,0.08064814814814815,0.3447058823529412,-0.2288764705882353,0.32300787401574804,-0.29258267716535435,0.4087906976744186,-0.040720930232558135,-0.35903141361256546,-0.08232460732984292,-0.205873417721519,0.47467088607594937
House,103,1993,0.7048226463104326,0.27539503386004516,0.30916030534351147,0.22777777777777777,0.024886877828054297,-0.04797516930022573,-0.0334627539503386,-0.33388931297709923,0.06944656488549618,0.37093333333333334,-0.1811111111111111,0.3509922480620155,-0.2631782945736434,0.42137254901960786,0.02647058823529412,-0.36813736263736263,-0.07423626373626374,-0.255975,0.396325
House,104,1995,0.7579379889178618,0.19775280898876405,0.21153846153846154,0.1864406779661017,0.018018018018018018,0.04018651685393258,-0.03429887640449438,-0.3613701923076923,0.062072115384615385,0.3965677966101695,-0.11760593220338983,0.37466257668711656,-0.1895276073619632,0.4454794520547945,0.04298630136986301,-0.3950337837837838,-0.06901351351351351,-0.2783333333333333,0.3854166666666667
House,105,1997,0.7770941762639876,0.1554054054054054,0.15566037735849056,0.15584415584415584,0.01805869074492099,0.02835810810810811,-0.0219009009009009,-0.37556603773584907,0.03638679245283019,0.4015281385281385,-0.07367532467532467,0.38172077922077924,-0.13816883116883116,0.44114285714285717,0.05531168831168831,-0.3982875,-0.0563375,-0.30565384615384616,0.32169230769230767
House,106,1999,0.7768309859154929,0.15681818181818183,0.1596244131455399,0.15555555555555556,0.01598173515981735,0.0262,-0.007245454545454545,-0.37283098591549296,0.044586854460093896,0.404,-0.05692,0.38405442176870747,-0.12287074829931972,0.44158974358974357,0.06737179487179487,-0.396641975308642,-0.04198765432098765,-0.2971960784313725,0.3195882352941177
House,107,2001,0.7863850631251025,0.1463963963963964,0.14953271028037382,0.14473684210526316,0.00904977375565611,0.02883783783783784,0.005495495495495496,-0.37677102803738316,0.04018691588785046,0.4096140350877193,-0.027552631578947367,0.38986986301369864,-0.10265753424657534,0.44476829268292684,0.10617073170731707,-0.3995153374233129,-0.046601226993865034,-0.30407843137254903,0.3175686274509804
House,108,2003,0.7929440975690976,0.1340909090909091,0.14423076923076922,0.12554112554112554,0,0.03969772727272727,0.017277272727272728,-0.37622115384615384,0.04818269230769231,0.4167229437229437,-0.008662337662337661,0.3986081081081081,-0.08428378378378379,0.4490240963855422,0.12618072289156626,-0.4044285714285714,-0.049201298701298704,-0.2957777777777778,0.3259074074074074
House,109,2005,0.8099157530657164,0.1252847380410023,0.12807881773399016,0.12340425531914893,0,0.04603872437357631,0.013640091116173121,-0.3871625615763547,0.03135960591133005,0.4227531914893617,1.7446808510638372e-4,0.39928378378378376,-0.07574324324324325,0.4626781609195402,0.12932183908045977,-0.4055923566878981,-0.04494904458598726,-0.3242608695652174,0.29180434782608694
House,110,2007,0.8078984378121379,0.13808463251670378,0.1728395061728395,0.0970873786407767,0,0.0022583518930957684,0.03815144766146993,-0.36840329218107,0.044032921810699586,0.43949514563106795,0.03121359223300971,0.41720491803278686,-0.04344262295081967,0.47186904761904763,0.13964285714285715,-0.38656613756613756,-0.028285714285714286,-0.30483333333333335,0.29714814814814816
